"CodeObj","Vaddr","Instruction","Hitcount","Latency","Stall","Idle","Source"
2,7476,"v_mov_b32_e32 v14, v42",2,8,0,0,""
2,7480,"v_mov_b32_e32 v15, v16",2,8,0,0,""
2,7484,"v_smfmac_f32_16x16x32_f16 v[6:9], v[32:33], v[22:25], v10",2,8,0,0,""
2,7492,"v_mov_b32_e32 v16, v43",2,16,8,0,""
2,7496,"v_mov_b32_e32 v24, v50",2,8,0,0,""
2,7500,"v_mov_b32_e32 v25, v26",2,8,0,0,""
2,7504,"v_smfmac_f32_16x16x32_f16 v[2:5], v[34:35], v[14:17], v10",2,8,0,0,""
2,7512,"v_mov_b32_e32 v26, v51",2,16,8,0,""
2,7516,"v_mov_b32_e32 v16, v44",2,8,0,0,""
2,7520,"v_mov_b32_e32 v17, v18",2,8,0,0,""
2,7524,"v_smfmac_f32_16x16x32_f16 v[6:9], v[34:35], v[24:27], v10",2,8,0,0,""
2,7532,"v_mov_b32_e32 v18, v45",2,16,8,0,""
2,7536,"s_waitcnt lgkmcnt(0)",2,8,8,0,""
2,7540,"v_mov_b32_e32 v26, v52",2,8,0,0,""
2,7544,"v_mov_b32_e32 v27, v28",2,8,0,0,""
2,7548,"v_smfmac_f32_16x16x32_f16 v[2:5], v[36:37], v[16:19], v10",2,8,0,0,""
2,7556,"v_mov_b32_e32 v28, v53",2,16,8,0,""
2,7560,"v_mov_b32_e32 v18, v46",2,8,0,0,""
2,7564,"v_mov_b32_e32 v19, v20",2,8,0,0,""
2,7568,"v_smfmac_f32_16x16x32_f16 v[6:9], v[36:37], v[26:29], v10",2,8,0,0,""
2,7576,"v_mov_b32_e32 v20, v47",2,16,8,0,""
2,7580,"v_mov_b32_e32 v28, v54",2,8,0,0,""
2,7584,"v_mov_b32_e32 v29, v30",2,8,0,0,""
2,7588,"v_smfmac_f32_16x16x32_f16 v[2:5], v[38:39], v[18:21], v10",2,8,0,0,""
2,7596,"v_mov_b32_e32 v30, v55",2,16,8,0,""
2,7600,"v_or_b32_e32 v0, s8, v0",2,8,0,0,""
2,7604,"v_mul_u32_u24_e32 v1, 0x1a000, v1",2,8,0,0,""
2,7612,"v_smfmac_f32_16x16x32_f16 v[6:9], v[38:39], v[28:31], v10",2,8,0,0,""
2,7620,"s_and_b32 s1, s1, 0xffff",2,8,0,0,""
2,7628,"s_nop 1",2,16,16,0,""
2,7632,"v_mov_b32_e32 v10, v2",2,8,0,0,""
2,7636,"v_mov_b32_e32 v11, v4",2,8,0,0,""
2,7640,"v_mov_b32_e32 v4, v3",2,8,0,0,""
2,7644,"s_mov_b32 s3, 0x27000",2,8,0,0,""
2,7652,"s_mov_b32 s2, 0x68000",2,8,0,0,""
2,7660,"v_pk_add_f32 v[2:3], v[10:11], v[4:5]",2,8,0,0,""
2,7668,"v_mov_b32_e32 v4, v6",2,8,0,0,""
2,7672,"v_mov_b32_e32 v5, v8",2,8,0,0,""
2,7676,"v_mov_b32_e32 v8, v7",2,8,0,0,""
2,7680,"v_lshl_add_u32 v0, v0, 2, v1",2,8,0,0,""
2,7688,"v_pk_add_f32 v[4:5], v[4:5], v[8:9]",2,8,0,0,""
2,7696,"buffer_store_dword v2, v0, s[0:3], 0 offen",2,32,24,16,""
2,7704,"buffer_store_dword v4, v0, s[0:3], 0 offen offset:64",2,8,0,0,""
2,7712,"v_add_u32_e32 v0, 0xd000, v0",2,8,0,0,""
2,7720,"buffer_store_dword v3, v0, s[0:3], 0 offen",2,8,0,16,""
2,7728,"buffer_store_dword v5, v0, s[0:3], 0 offen offset:64",2,8,0,0,""
2,7736,"s_barrier",2,24,24,0,""
2,7740,"s_endpgm",2,684,0,0,""
